latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.0394,14.8829,339.4,1,1,2015-08-25,0019,Aqua,MODIS,100,6.03,292.1,44.9,N,0
-19.0379,14.873,335.9,1,1,2015-08-25,0019,Aqua,MODIS,99,6.03,290.7,38.6,N,0
-19.0287,14.8745,345.8,1,1,2015-08-25,0019,Aqua,MODIS,100,6.03,286.9,57.3,N,0
-19.0302,14.8844,320.5,1,1,2015-08-25,0019,Aqua,MODIS,42,6.03,284.5,19.1,N,0
-18.9928,14.583,327.3,1.1,1,2015-08-25,0019,Aqua,MODIS,100,6.03,289.1,29.2,N,0
-19.0315,14.5868,312.5,1.1,1,2015-08-25,0019,Aqua,MODIS,26,6.03,286.7,12.7,N,0
-19.0681,14.8309,333.5,2.1,1.4,2015-08-25,0945,Terra,MODIS,64,6.03,298,70.3,D,0
-19.0704,14.8506,325.6,2.1,1.4,2015-08-25,0945,Terra,MODIS,72,6.03,292.6,44,D,0
-19.0761,14.7903,322,2.1,1.4,2015-08-25,0945,Terra,MODIS,50,6.03,290.7,33.3,D,0
-19.0784,14.8098,338.4,2.1,1.4,2015-08-25,0945,Terra,MODIS,89,6.03,294.4,92.4,D,0
-19.0807,14.8294,338.2,2.1,1.4,2015-08-25,0945,Terra,MODIS,88,6.03,293.6,90.5,D,0
-19.0688,14.8251,331.2,2.1,1.4,2015-08-25,0945,Terra,MODIS,66,6.03,298.2,62.8,D,0
-19.071,14.8448,330,2.1,1.4,2015-08-25,0945,Terra,MODIS,82,6.03,295.4,58.7,D,0
-19.0793,14.8039,326.9,2.1,1.4,2015-08-25,0945,Terra,MODIS,68,6.03,292.2,48.2,D,0
-19.0814,14.8235,339.3,2.1,1.4,2015-08-25,0945,Terra,MODIS,89,6.03,293.6,97.7,D,0
-19.3208,16.7095,335.4,1.2,1.1,2015-08-25,1230,Aqua,MODIS,84,6.03,308.4,28.3,D,0
-19.3112,16.7081,338.7,1.2,1.1,2015-08-25,1230,Aqua,MODIS,87,6.03,310.4,34.4,D,0
-19.3126,16.6971,346.3,1.2,1.1,2015-08-25,1230,Aqua,MODIS,92,6.03,310.8,50.9,D,0
-19.1052,14.5658,340.1,1.5,1.2,2015-08-25,1230,Aqua,MODIS,84,6.03,291.7,64.6,D,0
-19.102,14.5732,365,1.5,1.2,2015-08-25,1230,Aqua,MODIS,94,6.03,293.9,169.9,D,0
-19.2287,14.7948,310.1,1.3,1.1,2015-08-25,2156,Terra,MODIS,79,6.03,286.2,15.6,N,0
