row,col,lat,lon,fire_count,ndvi,r_f,r_p,risk,lambda_drones,lambda_rangers,lambda_sensors,c_drones,c_rangers,c_sensors,coverage,protection,protection_uniform,in_pan
1,38,-19.4324,16.2842,0,1.0,0.43685,0.146893,0.253318,0.8265,0.4612,0.3227,0.0,0.4,0.0,0.184463,0.517217,0.302615,False
1,39,-19.4324,16.3318,0,1.0,0.411419,0.109173,0.211934,0.8536,0.4258,0.3001,0.0,0.4,0.0,0.170337,0.552343,0.332618,False
1,40,-19.4324,16.3794,0.3,1.0,0.391388,0.077405,0.174056,0.88,0.3871,0.2751,0.0,0.4,0.0,0.154839,0.589179,0.366718,False
1,41,-19.4324,16.4271,2.29,1.0,0.387921,0.054626,0.14557,0.9024,0.3501,0.2512,0.0,0.4,0.0,0.140029,0.617847,0.396672,False
1,42,-19.4324,16.4747,2.31,1.0,0.369178,0.038291,0.118896,0.9168,0.3236,0.2341,0.04,0.4,0.0,0.166105,0.752678,0.441549,False
1,43,-19.4324,16.5224,0,1.0,0.332927,0.025953,0.092955,0.9266,0.304,0.2214,0.04,0.4,0.0,0.15867,0.818583,0.508825,False
1,44,-19.4324,16.57,3.29,1.0,0.343752,0.019106,0.081042,0.9349,0.2862,0.2099,0.04,0.4,0.0,0.151882,0.846509,0.541431,False
1,45,-19.4324,16.6176,11.82,1.0,0.387396,0.015243,0.076845,0.9408,0.2728,0.2012,0.08,0.0,0.1,0.095383,0.710976,0.547843,False
1,46,-19.4324,16.6653,16.95,1.0,0.402841,0.011532,0.068159,0.9446,0.2637,0.1953,0.08,0.0,0.1,0.095099,0.75223,0.582331,False
1,47,-19.4324,16.7129,12.52,1.0,0.363422,0.009591,0.05904,0.9454,0.2618,0.1941,0.08,0.0,0.1,0.095038,0.800057,0.633076,False
1,48,-19.4324,16.7606,14.26,1.0,0.360724,0.009345,0.058059,0.9456,0.2614,0.1938,0.08,0.0,0.1,0.095024,0.805377,0.638814,False
1,49,-19.4324,16.8082,13.64,1.0,0.345105,0.009237,0.05646,0.9453,0.2621,0.1943,0.08,0.0,0.1,0.095048,0.814272,0.649835,False
1,50,-19.4324,16.8558,0.94,1.0,0.254463,0.009463,0.049072,0.9416,0.271,0.2,0.08,0.0,0.1,0.095327,0.856671,0.709718,False
1,51,-19.4324,16.9035,0,1.0,0.244182,0.009532,0.048244,0.9409,0.2726,0.201,0.08,0.0,0.1,0.095375,0.861503,0.717301,False
1,52,-19.4324,16.9511,0,1.0,0.244182,0.009204,0.047408,0.9414,0.2714,0.2003,0.08,0.0,0.1,0.09534,0.866153,0.722456,False
